__label|__var|additional_relative_req|var_pop|agegroup|closest_relative_group|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
__n|__n|no|bd_00#inc_2016_2021|0-24|father|0|83,187 (100.0)|100||83187
male|male|no|bd_00#inc_2016_2021|0-24|father|0|83,187 (100.0)|100||83187
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|568 (0.7)|0.683||568
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|76,845 (92.4)|92.376||76845
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|5,774 (6.9)|6.941||5774
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|0|48.0 (42.2;53.1)|42.233|53.082|48.005
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|25,992 (31.2)|31.245||25992
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|41,321 (49.7)|49.672||41321
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|2,964 (3.6)|3.563||2964
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|12,910 (15.5)|15.519||12910
closest_relative_type: title|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|0|83,187 (100.0)|100||83187
__n|__n|no|bd_00#inc_2016_2021|0-24|father|1|83,187 (100.0)|100||83187
male|male|no|bd_00#inc_2016_2021|0-24|father|1|83,187 (100.0)|100||83187
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|580 (0.7)|0.697||580
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|76,293 (91.7)|91.713||76293
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|6,314 (7.6)|7.59||6314
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|1|47.9 (41.9;53.1)|41.918|53.089|47.882
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|24,376 (29.3)|29.303||24376
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|41,988 (50.5)|50.474||41988
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|2,581 (3.1)|3.103||2581
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|14,242 (17.1)|17.12||14242
closest_relative_type: title|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|1|83,187 (100.0)|100||83187
__n|__n|no|bd_00#prev_2021|0-24|father|0|131,149 (100.0)|100||131149
male|male|no|bd_00#prev_2021|0-24|father|0|131,149 (100.0)|100||131149
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|0|975 (0.7)|0.743||975
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|0|119,978 (91.5)|91.482||119978
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|0|10,196 (7.8)|7.774||10196
age_index|age_index|no|bd_00#prev_2021|0-24|father|0|50.3 (45.3;54.9)|45.329|54.904|50.304
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|0|41,748 (31.8)|31.832||41748
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|0|65,533 (50.0)|49.968||65533
education_level: no_education|education_level|no|bd_00#prev_2021|0-24|father|0|4,272 (3.3)|3.257||4272
education_level: short_education|education_level|no|bd_00#prev_2021|0-24|father|0|19,596 (14.9)|14.942||19596
closest_relative_type: title|closest_relative_type|no|bd_00#prev_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_00#prev_2021|0-24|father|0|131,149 (100.0)|100||131149
__n|__n|no|bd_00#prev_2021|0-24|father|1|131,149 (100.0)|100||131149
