cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost_total|act_py|att_cost_total|att_py|n_cases_included|act_cost_per_person|att_cost_per_person|att_cost_prop
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|father|0-24|66317921.23|83041.757849|5792338.7446|83041.757849|83187|798.60931353|69.752121037|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|mother|0-24|58348816.9|66992.235437|8226810.5306|66992.235437|67078|870.97880104|122.80244833|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|child|25-64|24138612.77|55429.660169|1740025.9341|55429.660169|55713|435.48188274|31.391603859|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|parent|25-64|81177982.14|32515.517464|7073729.0461|32515.517464|32746|2496.5920419|217.54933022|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|partner|25-64|86678152.72|89547.12081|8345410.9891|89547.12081|89867|967.96135862|93.195748938|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|pooled|25-64|221840224.92|207881.90525|20002291.356|207881.90525|208796|1067.1454288|96.219492174|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|sibling|25-64|29845477.29|30389.606812|2843125.3866|30389.606812|30470|982.09488115|93.555846385|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|child|65+|67873511.31|65564.311947|7931529.9505|65564.311947|65678|1035.2203706|120.97328127|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|partner|65+|122177578.84|41012.724216|5358409.3597|41012.724216|41619|2979.0164193|130.65236368|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|pooled|65+|193979300.58|108432.61078|13882494.548|108432.61078|109161|1788.9387628|128.02877702|
filled_prescriptions|after_index|no|bd_00#inc_2016_2021|sibling|65+|3928210.43|1855.5746164|592555.23748|1855.5746164|1864|2116.9778867|319.33786562|
filled_prescriptions|after_index|no|bd_00#prev_2021|father|0-24|120739595.82|130990.9726|12629574.415|130990.9726|131149|921.73982238|96.415609135|
filled_prescriptions|after_index|no|bd_00#prev_2021|mother|0-24|100787552.76|100514.36712|17021031.807|100514.36712|100583|1002.7178765|169.33929242|
filled_prescriptions|after_index|no|bd_00#prev_2021|child|25-64|132112714.44|290245.36438|12793525.413|290245.36438|290894|455.17596714|44.078310915|
filled_prescriptions|after_index|no|bd_00#prev_2021|parent|25-64|465901287.64|165249.49041|49488966.074|165249.49041|166625|2819.3810854|299.48029462|
filled_prescriptions|after_index|no|bd_00#prev_2021|partner|25-64|396168810.32|363505.30959|42119895.925|363505.30959|363947|1089.8570114|115.87147372|
filled_prescriptions|after_index|no|bd_00#prev_2021|pooled|25-64|1194044893.3|990754.92329|128650550.79|990754.92329|993537|1205.186939|129.85103356|
filled_prescriptions|after_index|no|bd_00#prev_2021|sibling|25-64|199862080.93|171754.7589|24248163.382|171754.7589|172071|1163.6479956|141.17898995|
filled_prescriptions|after_index|no|bd_00#prev_2021|child|65+|252915363.07|241241.39178|17926289.851|241241.39178|241533|1048.391245|74.308516126|
filled_prescriptions|after_index|no|bd_00#prev_2021|partner|65+|436719477.39|147114.4411|24778736.165|147114.4411|148289|2968.5697348|168.43170514|
filled_prescriptions|after_index|no|bd_00#prev_2021|pooled|65+|720352303.97|404232.00274|44704664.917|404232.00274|405751|1782.0269031|110.59160238|
filled_prescriptions|after_index|no|bd_00#prev_2021|sibling|65+|30717463.51|15876.169863|1999638.9013|15876.169863|15929|1934.8157506|125.9522239|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|father|0-24|4292985.65|2260.1379669|749058.16639|2260.1379669|2264|1899.4352172|331.42143416|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|mother|0-24|5803003.5|2763.0706116|999555.14038|2763.0706116|2767|2100.2009416|361.75519228|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|child|25-64|4881322.52|5444.2838611|1024672.3024|5444.2838611|5466|896.59588746|188.21066802|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|parent|25-64|21773959.01|5117.5071487|2913180.154|5117.5071487|5183|4254.7979665|569.25766184|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|partner|25-64|25984764.04|13837.086294|4181541.2718|13837.086294|13884|1877.9072045|302.19810609|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|pooled|25-64|60383254.46|28566.298406|8518808.5418|28566.298406|28711|2113.79345|298.21184463|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|sibling|25-64|7743208.89|4167.4211019|399414.8137|4167.4211019|4178|1858.0337097|95.842201673|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|child|65+|7310487.38|4898.6380867|-297509.7629|4898.6380867|4908|1492.3509863|-60.73315841|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|partner|65+|20078088.29|5080.9770791|2820519.0193|5080.9770791|5161|3951.6195364|555.11350974|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|pooled|65+|28073312.61|10256.911056|2547554.5634|10256.911056|10347|2737.0143366|248.37444231|
filled_prescriptions|after_index|no|bd_01#inc_2016_2021|sibling|65+|684736.94|277.29589041|24545.306986|277.29589041|278|2469.3367759|88.516663373|
filled_prescriptions|after_index|no|bd_01#prev_2021|father|0-24|2969189.77|1520.0547945|426172.0274|1520.0547945|1527|1953.3439062|280.36622688|
filled_prescriptions|after_index|no|bd_01#prev_2021|mother|0-24|3988906.82|1804.4383562|933583.16877|1804.4383562|1807|2210.6085289|517.38158058|
filled_prescriptions|after_index|no|bd_01#prev_2021|child|25-64|22332208.79|21834.10411|3861497.061|21834.10411|21868|1022.8131495|176.8562173|
filled_prescriptions|after_index|no|bd_01#prev_2021|parent|25-64|83428610.41|18485.317808|8814432.8055|18485.317808|18870|4513.2364656|476.83425825|
filled_prescriptions|after_index|no|bd_01#prev_2021|partner|25-64|81518057.51|36476.293151|21840433.327|36476.293151|36560|2234.8229622|598.75693062|
filled_prescriptions|after_index|no|bd_01#prev_2021|pooled|25-64|228427501.36|95591.191781|37345153.162|95591.191781|96142|2389.6291814|390.6756728|
filled_prescriptions|after_index|no|bd_01#prev_2021|sibling|25-64|41148624.65|18795.476712|2828789.9688|18795.476712|18844|2189.2833728|150.5037628|
filled_prescriptions|after_index|no|bd_01#prev_2021|child|65+|31773903.6|20203.421918|1948943.9725|20203.421918|20237|1572.6991066|96.466033348|
filled_prescriptions|after_index|no|bd_01#prev_2021|partner|65+|70770080.04|18254.446575|6486749.2218|18254.446575|18448|3876.8680139|355.3517328|
filled_prescriptions|after_index|no|bd_01#prev_2021|pooled|65+|109349466.33|40915.128767|8439703.7048|40915.128767|41160|2672.5925012|206.27342401|
filled_prescriptions|after_index|no|bd_01#prev_2021|sibling|65+|6805482.69|2457.260274|4010.5105479|2457.260274|2475|2769.5408427|1.6321065336|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|father|0-24|39648093.12|24540.415143|7857825.4948|24540.415143|24599|1615.6243849|320.19937108|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|mother|0-24|42663089.2|23826.156277|11903630.803|23826.156277|23853|1790.5988992|499.60348891|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|child|25-64|7333107.96|9296.8729022|1495675.1756|9296.8729022|9349|788.77145436|160.87938292|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|parent|25-64|36602208.93|11060.869249|4440916.4424|11060.869249|11154|3309.1620654|401.49796027|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|partner|25-64|41033982.75|28002.801954|6056946.7346|28002.801954|28090|1465.3527464|216.29788135|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|pooled|25-64|96338073.65|55754.295501|12551968.875|55754.295501|56008|1727.9040616|225.13007764|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|sibling|25-64|11368774.01|7393.7513961|558430.52227|7393.7513961|7415|1537.6191869|75.527359841|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|child|65+|19435967.59|10330.462303|2298163.5126|10330.462303|10352|1881.422827|222.46473055|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|partner|65+|34463370.6|8446.1098286|15312.350886|8446.1098286|8605|4080.3839045|1.812947167|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|pooled|65+|54831405.43|19059.053372|2478873.889|19059.053372|19241|2876.9217631|130.06280221|
filled_prescriptions|after_index|no|bd_02#inc_2016_2021|sibling|65+|932067.24|282.48124111|165398.02549|282.48124111|284|3299.5721639|585.51861652|
filled_prescriptions|after_index|no|bd_02#prev_2021|father|0-24|39834808.09|23138.778082|5591655.7505|23138.778082|23186|1721.5605746|241.65734814|
filled_prescriptions|after_index|no|bd_02#prev_2021|mother|0-24|43773030.92|22192.531507|12688036.575|22192.531507|22222|1972.4217089|571.72551818|
filled_prescriptions|after_index|no|bd_02#prev_2021|child|25-64|30548623.79|36413.843836|5081219.3411|36413.843836|36520|838.92884058|139.54086704|
