additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_00#inc_2016_2021|0-24|father|163194|83187|1
no|bd_00#inc_2016_2021|0-24|mother|163194|67078|1
no|bd_00#inc_2016_2021|0-24|no_relative|163194|53605|
no|bd_00#inc_2016_2021|25-64|child|233850|55721|0.99
no|bd_00#inc_2016_2021|25-64|no_relative|233850|24582|
no|bd_00#inc_2016_2021|25-64|parent|233850|32805|0.99
no|bd_00#inc_2016_2021|25-64|partner|233850|90205|0.99
no|bd_00#inc_2016_2021|25-64|pooled|233850|209268|0.99
no|bd_00#inc_2016_2021|25-64|sibling|233850|30537|0.99
no|bd_00#inc_2016_2021|65+|child|146680|65680|0.99
no|bd_00#inc_2016_2021|65+|no_relative|146680|36927|
no|bd_00#inc_2016_2021|65+|partner|146680|41696|0.99
no|bd_00#inc_2016_2021|65+|pooled|146680|109753|0.99
no|bd_00#inc_2016_2021|65+|sibling|146680|2377|0.78
no|bd_00#prev_2021|0-24|father|263026|131149|1
no|bd_00#prev_2021|0-24|mother|263026|100583|1
no|bd_00#prev_2021|0-24|no_relative|263026|89843|
no|bd_00#prev_2021|25-64|child|1103732|290975|0.99
no|bd_00#prev_2021|25-64|no_relative|1103732|107828|
no|bd_00#prev_2021|25-64|parent|1103732|166991|0.99
no|bd_00#prev_2021|25-64|partner|1103732|365434|0.99
no|bd_00#prev_2021|25-64|pooled|1103732|995904|0.99
no|bd_00#prev_2021|25-64|sibling|1103732|172504|0.99
no|bd_00#prev_2021|65+|child|566848|241536|0.99
no|bd_00#prev_2021|65+|no_relative|566848|158570|
no|bd_00#prev_2021|65+|partner|566848|148676|0.99
no|bd_00#prev_2021|65+|pooled|566848|408278|0.99
no|bd_00#prev_2021|65+|sibling|566848|18066|0.88
no|bd_01#inc_2016_2021|0-24|father|3309|2264|1
no|bd_01#inc_2016_2021|0-24|mother|3309|2767|1
no|bd_01#inc_2016_2021|0-24|no_relative|3309|308|
no|bd_01#inc_2016_2021|25-64|child|30453|5471|0.99
no|bd_01#inc_2016_2021|25-64|no_relative|30453|1518|
no|bd_01#inc_2016_2021|25-64|parent|30453|5194|0.99
no|bd_01#inc_2016_2021|25-64|partner|30453|13934|0.99
no|bd_01#inc_2016_2021|25-64|pooled|30453|28935|0.99
no|bd_01#inc_2016_2021|25-64|sibling|30453|4336|0.96
no|bd_01#inc_2016_2021|65+|child|12154|4908|1
no|bd_01#inc_2016_2021|65+|no_relative|12154|1728|
no|bd_01#inc_2016_2021|65+|partner|12154|5175|0.99
no|bd_01#inc_2016_2021|65+|pooled|12154|10426|0.99
no|bd_01#inc_2016_2021|65+|sibling|12154|343|0.81
no|bd_01#prev_2021|0-24|father|2319|1527|1
no|bd_01#prev_2021|0-24|mother|2319|1807|1
no|bd_01#prev_2021|0-24|no_relative|2319|297|
no|bd_01#prev_2021|25-64|child|100970|21886|0.99
no|bd_01#prev_2021|25-64|no_relative|100970|4044|
no|bd_01#prev_2021|25-64|parent|100970|18898|0.99
no|bd_01#prev_2021|25-64|partner|100970|36747|0.99
no|bd_01#prev_2021|25-64|pooled|100970|96926|0.99
no|bd_01#prev_2021|25-64|sibling|100970|19395|0.97
no|bd_01#prev_2021|65+|child|48369|20237|1
no|bd_01#prev_2021|65+|no_relative|48369|6896|
no|bd_01#prev_2021|65+|partner|48369|18528|0.99
no|bd_01#prev_2021|65+|pooled|48369|41473|0.99
no|bd_01#prev_2021|65+|sibling|48369|2708|0.91
no|bd_02#inc_2016_2021|0-24|father|31219|24599|1
no|bd_02#inc_2016_2021|0-24|mother|31219|23853|1
no|bd_02#inc_2016_2021|0-24|no_relative|31219|2585|
no|bd_02#inc_2016_2021|25-64|child|59259|9358|0.99
no|bd_02#inc_2016_2021|25-64|no_relative|59259|2913|
no|bd_02#inc_2016_2021|25-64|parent|59259|11161|0.99
no|bd_02#inc_2016_2021|25-64|partner|59259|28223|0.99
no|bd_02#inc_2016_2021|25-64|pooled|59259|56346|0.99
no|bd_02#inc_2016_2021|25-64|sibling|59259|7604|0.97
no|bd_02#inc_2016_2021|65+|child|22199|10352|1
no|bd_02#inc_2016_2021|65+|no_relative|22199|2856|
no|bd_02#inc_2016_2021|65+|partner|22199|8631|0.99
no|bd_02#inc_2016_2021|65+|pooled|22199|19343|0.99
no|bd_02#inc_2016_2021|65+|sibling|22199|360|0.78
no|bd_02#prev_2021|0-24|father|29299|23186|1
no|bd_02#prev_2021|0-24|mother|29299|22222|1
no|bd_02#prev_2021|0-24|no_relative|29299|2210|
