var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
bd_00#inc_2016_2021|0-24|father|0|__n|__n|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|0|male|male|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: +3|575 (0.7)|0.69135505590958||575
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 0|76,841 (92.4)|92.3902849585187||76841
bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 1-2|5,754 (6.9)|6.91835998557172||5754
bd_00#inc_2016_2021|0-24|father|0|age_index|age_index|48.0 (42.2;53.1)|42.215487686204|53.0904109589041|47.980821918
bd_00#inc_2016_2021|0-24|father|1|__n|__n|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|1|male|male|83,170 (100.0)|100||83170
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: +3|580 (0.7)|0.69736683900444||580
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 0|76,278 (91.7)|91.7133581820368||76278
bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 1-2|6,312 (7.6)|7.58927497895875||6312
bd_00#inc_2016_2021|0-24|father|1|age_index|age_index|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
bd_00#inc_2016_2021|0-24|mother|0|__n|__n|67,073 (100.0)|100||67073
bd_00#inc_2016_2021|0-24|mother|0|male|male|0 (0.0)|0||0
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: +3|390 (0.6)|0.58145602552442||390
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 0|61,695 (92.0)|91.9818704993067||61695
bd_00#inc_2016_2021|0-24|mother|0|cci_g|cci_g: 1-2|4,988 (7.4)|7.43667347516884||4988
bd_00#inc_2016_2021|0-24|mother|0|age_index|age_index|45.9 (40.2;50.8)|40.1780821917808|50.8465753424657|45.944419492
bd_00#inc_2016_2021|0-24|mother|1|__n|__n|67,073 (100.0)|100||67073
bd_00#inc_2016_2021|0-24|mother|1|male|male|0 (0.0)|0||0
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: +3|456 (0.7)|0.67985627599779||456
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 0|60,934 (90.8)|90.8472857930911||60934
bd_00#inc_2016_2021|0-24|mother|1|cci_g|cci_g: 1-2|5,683 (8.5)|8.47285793091109||5683
bd_00#inc_2016_2021|0-24|mother|1|age_index|age_index|45.9 (39.9;50.8)|39.8876712328767|50.836177857624|45.858926566
bd_00#inc_2016_2021|25-64|parent|0|__n|__n|42,075 (100.0)|100||42075
bd_00#inc_2016_2021|25-64|parent|0|male|male|16,048 (38.1)|38.1414141414141||16048
bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: +3|1,746 (4.1)|4.14973262032085||1746
bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 0|32,016 (76.1)|76.0926916221034||32016
bd_00#inc_2016_2021|25-64|parent|0|cci_g|cci_g: 1-2|8,313 (19.8)|19.7575757575757||8313
bd_00#inc_2016_2021|25-64|parent|0|age_index|age_index|67.0 (59.3;74.7)|59.2568306010929|74.6794520547945|66.994520548
bd_00#inc_2016_2021|25-64|parent|1|__n|__n|42,075 (100.0)|100||42075
bd_00#inc_2016_2021|25-64|parent|1|male|male|16,678 (39.6)|39.6387403446227||16678
bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: +3|1,928 (4.6)|4.58229352346999||1928
bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 0|31,579 (75.1)|75.0540701128936||31579
bd_00#inc_2016_2021|25-64|parent|1|cci_g|cci_g: 1-2|8,568 (20.4)|20.3636363636363||8568
bd_00#inc_2016_2021|25-64|parent|1|age_index|age_index|66.9 (59.2;74.5)|59.2410958904109|74.5254510068119|66.911086159
bd_00#inc_2016_2021|25-64|partner|0|__n|__n|90,209 (100.0)|100||90209
bd_00#inc_2016_2021|25-64|partner|0|male|male|52,368 (58.1)|58.0518573534791||52368
bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: +3|792 (0.9)|0.87796117903978||792
bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 0|82,412 (91.4)|91.3567382411954||82412
bd_00#inc_2016_2021|25-64|partner|0|cci_g|cci_g: 1-2|7,005 (7.8)|7.76530057976477||7005
bd_00#inc_2016_2021|25-64|partner|0|age_index|age_index|46.4 (36.4;55.1)|36.4347106819372|55.0953140205105|46.389041096
bd_00#inc_2016_2021|25-64|partner|1|__n|__n|90,209 (100.0)|100||90209
bd_00#inc_2016_2021|25-64|partner|1|male|male|52,415 (58.1)|58.1039585850635||52415
bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: +3|886 (1.0)|0.98216364220864||886
bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 0|81,776 (90.7)|90.6517088095422||81776
bd_00#inc_2016_2021|25-64|partner|1|cci_g|cci_g: 1-2|7,547 (8.4)|8.36612754824906||7547
bd_00#inc_2016_2021|25-64|partner|1|age_index|age_index|46.3 (36.3;55.0)|36.3448761134815|55.0365371659555|46.312328767
bd_00#inc_2016_2021|25-64|sibling|0|__n|__n|50,340 (100.0)|100||50340
bd_00#inc_2016_2021|25-64|sibling|0|male|male|28,090 (55.8)|55.8005562177195||28090
bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: +3|529 (1.1)|1.05085419149781||529
bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 0|45,418 (90.2)|90.2224870878029||45418
bd_00#inc_2016_2021|25-64|sibling|0|cci_g|cci_g: 1-2|4,393 (8.7)|8.72665872069924||4393
bd_00#inc_2016_2021|25-64|sibling|0|age_index|age_index|47.6 (33.5;56.5)|33.4876712328767|56.5254772063777|47.582764428
bd_00#inc_2016_2021|25-64|sibling|1|__n|__n|50,340 (100.0)|100||50340
bd_00#inc_2016_2021|25-64|sibling|1|male|male|28,330 (56.3)|56.2773142630115||28330
bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: title||||
bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: +3|550 (1.1)|1.09257052046086||550
bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 0|45,380 (90.1)|90.1470003972983||45380
bd_00#inc_2016_2021|25-64|sibling|1|cci_g|cci_g: 1-2|4,410 (8.8)|8.76042908224076||4410
bd_00#inc_2016_2021|25-64|sibling|1|age_index|age_index|46.9 (33.3;56.0)|33.3220151208922|55.9616438356164|46.895890411
bd_00#inc_2016_2021|65+|child|0|__n|__n|66,396 (100.0)|100||66396
bd_00#inc_2016_2021|65+|child|0|male|male|37,393 (56.3)|56.3181516958853||37393
bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: title||||
bd_00#inc_2016_2021|65+|child|0|cci_g|cci_g: +3|542 (0.8)|0.81631423579733||542
