cost_component|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|55800985.211|83170|7467.2568108|670.92683913
secondary_sector|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|70100696.107|67073|8868.1149069|1045.1403114
secondary_sector|bd_00#inc_2016_2021|relative|25-64|2209022581.8|182623.70829|172095014.11|182623.70829|12096.033984|942.34760488
secondary_sector|bd_00#inc_2016_2021|relative|65+|1635960996.5|108085|90262088.641|108085|15135.874511|835.10282315
secondary_sector|bd_00#prev_2021|father|0-24|1030442020|131137|63781080.314|131137|7857.751969|486.36982937
secondary_sector|bd_00#prev_2021|mother|0-24|917560598.97|100582|128300068.69|100582|9122.5129642|1275.5768298
secondary_sector|bd_00#prev_2021|relative|25-64|10856299889|859597.93716|560891771.25|859597.93716|12629.509006|652.50478974
secondary_sector|bd_00#prev_2021|relative|65+|5698563197.8|394999.06284|149038731.99|394999.06284|14426.776501|377.31414075
secondary_sector|bd_01#inc_2016_2021|father|0-24|34385042.18|2264|9220587.5141|2264|15187.739479|4072.6976652
secondary_sector|bd_01#inc_2016_2021|mother|0-24|42835124.75|2767|9576324.1047|2767|15480.710065|3460.904989
secondary_sector|bd_01#inc_2016_2021|relative|25-64|514412330.12|26666|51452571.604|26666|19290.944653|1929.5196732
secondary_sector|bd_01#inc_2016_2021|relative|65+|217133963.35|10225|24324791.208|10225|21235.595438|2378.9526854
secondary_sector|bd_01#prev_2021|father|0-24|21127180.661|1527|1706571.8955|1527|13835.743721|1117.597836
secondary_sector|bd_01#prev_2021|mother|0-24|32963628.969|1807|11525823.417|1807|18242.185373|6378.4302253
secondary_sector|bd_01#prev_2021|relative|25-64|1837183243.2|89712|234650517.06|89712|20478.67892|2615.5978806
secondary_sector|bd_01#prev_2021|relative|65+|780159203.88|39741|28180905.378|39741|19631.091414|709.11414857
