same_education_req|var_pop|agegroup|closest_relative_group|relative_group|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|father|case|__n|__n|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|case|male|male|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|case|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|father|case|cci_g|cci_g: +3|580 (0.7)|0.69736683900444||580
no|bd_00#inc_2016_2021|0-24|father|case|cci_g|cci_g: 0|76,278 (91.7)|91.7133581820368||76278
no|bd_00#inc_2016_2021|0-24|father|case|cci_g|cci_g: 1-2|6,312 (7.6)|7.58927497895875||6312
no|bd_00#inc_2016_2021|0-24|father|case|age_index|age_index|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
no|bd_00#inc_2016_2021|0-24|father|case|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|father|case|education_level|education_level: long_education|24,373 (29.3)|29.3050378742335||24373
no|bd_00#inc_2016_2021|0-24|father|case|education_level|education_level: medium_education|41,977 (50.5)|50.4713237946375||41977
no|bd_00#inc_2016_2021|0-24|father|case|education_level|education_level: no_education|2,581 (3.1)|3.10328243356979||2581
no|bd_00#inc_2016_2021|0-24|father|case|education_level|education_level: short_education|14,239 (17.1)|17.1203558975592||14239
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: father|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|case|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|control|__n|__n|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|control|male|male|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|control|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|father|control|cci_g|cci_g: +3|584 (0.7)|0.70217626548034||584
no|bd_00#inc_2016_2021|0-24|father|control|cci_g|cci_g: 0|76,807 (92.3)|92.3494048334736||76807
no|bd_00#inc_2016_2021|0-24|father|control|cci_g|cci_g: 1-2|5,779 (6.9)|6.94841890104605||5779
no|bd_00#inc_2016_2021|0-24|father|control|age_index|age_index|48.0 (42.2;53.1)|42.2380791975447|53.1041769593532|48.004102103
no|bd_00#inc_2016_2021|0-24|father|control|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|father|control|education_level|education_level: long_education|26,226 (31.5)|31.5330046891908||26226
no|bd_00#inc_2016_2021|0-24|father|control|education_level|education_level: medium_education|41,422 (49.8)|49.8040158711073||41422
no|bd_00#inc_2016_2021|0-24|father|control|education_level|education_level: no_education|2,794 (3.4)|3.35938439341108||2794
no|bd_00#inc_2016_2021|0-24|father|control|education_level|education_level: short_education|12,728 (15.3)|15.3035950462907||12728
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: title||||
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: child|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: father|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: mother|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: parent|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: partner|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|father|control|closest_relative_type|closest_relative_type: sibling|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|__n|__n|67,073 (100.0)|100||67073
no|bd_00#inc_2016_2021|0-24|mother|case|male|male|0 (0.0)|0||0
no|bd_00#inc_2016_2021|0-24|mother|case|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|mother|case|cci_g|cci_g: +3|456 (0.7)|0.67985627599779||456
no|bd_00#inc_2016_2021|0-24|mother|case|cci_g|cci_g: 0|60,934 (90.8)|90.8472857930911||60934
