same_education_req|var_pop|agegroup|closest_relative_type|case_relative|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|father|0|__n|__n|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|0|male|male|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: +3|498 (0.6)|0.59877359624864||498
no|bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 0|76,824 (92.4)|92.3698448959961||76824
no|bd_00#inc_2016_2021|0-24|father|0|cci_g|cci_g: 1-2|5,848 (7.0)|7.0313815077552||5848
no|bd_00#inc_2016_2021|0-24|father|0|age_index|age_index|48.0 (42.2;53.1)|42.1945205479452|53.1100456621004|47.989041096
no|bd_00#inc_2016_2021|0-24|father|0|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|father|0|education_level|education_level: long_education|26,063 (31.3)|31.3370205602981||26063
no|bd_00#inc_2016_2021|0-24|father|0|education_level|education_level: medium_education|41,385 (49.8)|49.7595286762053||41385
no|bd_00#inc_2016_2021|0-24|father|0|education_level|education_level: no_education|2,904 (3.5)|3.49164362149813||2904
no|bd_00#inc_2016_2021|0-24|father|0|education_level|education_level: short_education|12,818 (15.4)|15.4118071419983||12818
no|bd_00#inc_2016_2021|0-24|father|1|__n|__n|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|1|male|male|83,170 (100.0)|100||83170
no|bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: +3|580 (0.7)|0.69736683900444||580
no|bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 0|76,278 (91.7)|91.7133581820368||76278
no|bd_00#inc_2016_2021|0-24|father|1|cci_g|cci_g: 1-2|6,312 (7.6)|7.58927497895875||6312
no|bd_00#inc_2016_2021|0-24|father|1|age_index|age_index|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
no|bd_00#inc_2016_2021|0-24|father|1|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|father|1|education_level|education_level: long_education|24,373 (29.3)|29.3050378742335||24373
