cost_component|cost_period|same_education_req|var_pop|closest_relative_type|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|no|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|71887967.582|83170|7467.2568108|864.34973647
secondary_sector|after_index|no|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|68930007.764|67073|8868.1149069|1027.686368
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|25-64|303817749.4|55249.3504|55810345.238|55249.3504|5499.0284447|1010.1538721
secondary_sector|after_index|no|bd_00#inc_2016_2021|parent|25-64|659815709.65|32661|51533530.468|32661|20201.94451|1577.8307605
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|25-64|887057689.6|90209|85328946.082|90209|9833.361301|945.90280439
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|25-64|2119024253.3|207869.41478|203001107.16|207869.41478|10194.016544|976.57997147
secondary_sector|after_index|no|bd_00#inc_2016_2021|sibling|25-64|268333104.68|29750.064384|10328285.372|29750.064384|9019.5806377|347.16850487
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|65+|587616896.2|66396|20058686.747|66396|8850.1851948|302.10685503
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|65+|1048342751|41688|47842131.192|41688|25147.35058|1147.6235653
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|65+|1635959647.2|108084|67900817.938|108084|15136.002065|628.22265958
secondary_sector|after_index|yes|bd_00#inc_2016_2021|father|0-24|614435358.68|82645|63929600.663|82645|7434.6343841|773.54468707
secondary_sector|after_index|yes|bd_00#inc_2016_2021|mother|0-24|589430311.73|66540|53597661.707|66540|8858.2854182|805.4953668
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|25-64|300115399.32|54632.387634|40589227.7|54632.387634|5493.3604829|742.95174452
secondary_sector|after_index|yes|bd_00#inc_2016_2021|parent|25-64|603101152.27|30316|48547083.884|30316|19893.823469|1601.3683825
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|25-64|879224624.8|89641|88223838.619|89641|9808.2866635|984.19070089
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|25-64|1995428676.2|198452.23017|164432300.98|198452.23017|10054.957177|828.57371184
secondary_sector|after_index|yes|bd_00#inc_2016_2021|sibling|25-64|212987499.77|23862.842541|-12927849.22|23862.842541|8925.4873725|-541.7564652
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|65+|583692127.28|65978|25936443.464|65978|8846.7690333|393.10745193
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|65+|1038056501|41297|19545798.882|41297|25136.365862|473.29827547
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|65+|1621748628.3|107275|45482242.346|107275|15117.675398|423.97802233
secondary_sector|before_index|no|bd_00#inc_2016_2021|father|0-24|513251261.01|83170|51341229.396|83170|6171.1105088|617.3046699
secondary_sector|before_index|no|bd_00#inc_2016_2021|mother|0-24|567780659.67|67073|40359763.29|67073|8465.1150191|601.72891163
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|25-64|287534100.95|55249.3504|27657940.477|55249.3504|5204.2983106|500.60209353
secondary_sector|before_index|no|bd_00#inc_2016_2021|parent|25-64|491567015.51|32661|20119791.633|32661|15050.580677|616.01884917
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|25-64|765287819.41|90209|74330931.676|90209|8483.4974273|823.98576279
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|25-64|1769730785.1|207869.41478|130213776.53|207869.41478|8513.6660773|626.42104741
secondary_sector|before_index|no|bd_00#inc_2016_2021|sibling|25-64|225341849.28|29750.064384|8105112.7482|29750.064384|7574.4995497|272.44017504
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|65+|490764533.4|66396|14594503.732|66396|7391.4773992|219.80998452
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|65+|894263555.11|41688|125155048.55|41688|21451.342235|3002.1840471
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|65+|1385028088.5|108084|139749552.29|108084|12814.367423|1292.9716913
secondary_sector|before_index|yes|bd_00#inc_2016_2021|father|0-24|508366770.72|82645|32916202.568|82645|6151.2102452|398.28425879
secondary_sector|before_index|yes|bd_00#inc_2016_2021|mother|0-24|563680072.78|66540|40693852.594|66540|8471.2965552|611.56977147
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|25-64|284181456.72|54632.387634|18919168.644|54632.387634|5201.7030379|346.29950224
secondary_sector|before_index|yes|bd_00#inc_2016_2021|parent|25-64|448987824.39|30316|23836675.313|30316|14810.259414|786.27376015
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|25-64|760060465.33|89641|78962053.409|89641|8478.9378223|880.8698409
