__label|__var|same_education_req|var_pop|agegroup|closest_relative_type|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
__n|__n|no|bd_00#inc_2016_2021|0-24|father|0|83,170 (100.0)|100||83170
male|male|no|bd_00#inc_2016_2021|0-24|father|0|83,170 (100.0)|100||83170
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|614 (0.7)|0.73824696404953||614
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|76,773 (92.3)|92.3085247084285||76773
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|5,783 (7.0)|6.95322832752194||5783
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|0|48.0 (42.2;53.1)|42.1972602739726|53.1102328018564|47.995897897
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|26,050 (31.3)|31.3213899242515||26050
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|41,530 (49.9)|49.9338703859564||41530
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|2,818 (3.4)|3.38824095226644||2818
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|12,772 (15.4)|15.3564987375255||12772
__n|__n|no|bd_00#inc_2016_2021|0-24|father|1|83,170 (100.0)|100||83170
male|male|no|bd_00#inc_2016_2021|0-24|father|1|83,170 (100.0)|100||83170
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|580 (0.7)|0.69736683900444||580
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|76,278 (91.7)|91.7133581820368||76278
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|6,312 (7.6)|7.58927497895875||6312
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|1|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|24,373 (29.3)|29.3050378742335||24373
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|41,977 (50.5)|50.4713237946375||41977
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|2,581 (3.1)|3.10328243356979||2581
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|14,239 (17.1)|17.1203558975592||14239
__n|__n|no|bd_00#prev_2021|0-24|father|0|131,137 (100.0)|100||131137
male|male|no|bd_00#prev_2021|0-24|father|0|131,137 (100.0)|100||131137
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|0|979 (0.7)|0.74654750375561||979
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|0|120,030 (91.5)|91.5302317423763||120030
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|0|10,128 (7.7)|7.72322075386809||10128
age_index|age_index|no|bd_00#prev_2021|0-24|father|0|50.3 (45.3;54.9)|45.3397260273972|54.8931506849315|50.276712329
education_level: title|education_level|no|bd_00#prev_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#prev_2021|0-24|father|0|41,509 (31.7)|31.6531566224635||41509
education_level: medium_education|education_level|no|bd_00#prev_2021|0-24|father|0|65,640 (50.1)|50.0545231322967||65640
