cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost|act_py|att_cost|att_py|act_cost_py|att_cost_py
secondary_sector|after_index|no|bd_00#inc_2016_2021|father|0-24|621051748.95|83170|62804391.125|83170|7467.2568108|755.1327537
secondary_sector|after_index|no|bd_00#inc_2016_2021|mother|0-24|594811071.15|67073|70948006.427|67073|8868.1149069|1057.7729701
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|25-64|304956252.34|55189.991601|61121467.005|55189.991601|5525.5716388|1107.4737508
secondary_sector|after_index|no|bd_00#inc_2016_2021|parent|25-64|653124198.54|32626|51522698.77|32626|20018.518928|1579.1914047
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|25-64|883396901.49|89878|121858840.86|89878|9828.8446726|1355.8250168
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|25-64|2115736826.7|208224.05598|258281657.53|208224.05598|10160.86646|1240.4025861
secondary_sector|after_index|no|bd_00#inc_2016_2021|sibling|25-64|274259474.29|30530.064384|23778650.895|30530.064384|8983.2589557|778.86016209
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|65+|587562030.79|66395|39852523.803|66395|8849.4921423|600.23380982
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|65+|1047427830.7|41616|60590081.743|41616|25168.873286|1455.9323756
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|65+|1634989861.5|108011|100442605.55|108011|15137.253256|929.92941039
secondary_sector|after_index|yes|bd_00#inc_2016_2021|father|0-24|573859510.54|79415|64383307.146|79415|7226.0846256|810.71972733
secondary_sector|after_index|yes|bd_00#inc_2016_2021|mother|0-24|559636746.23|63833|53182978.305|63833|8767.2010751|833.15805782
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|25-64|293544625.9|53181.504229|57846838.822|53181.504229|5519.675123|1087.7247581
secondary_sector|after_index|yes|bd_00#inc_2016_2021|parent|25-64|544982232.36|28342|36929365.459|28342|19228.785278|1302.9908073
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|25-64|828335384.18|85611|96429724.945|85611|9675.5718796|1126.3707344
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|25-64|1852489578.8|187730.50423|203653366.82|187730.50423|9867.8133659|1084.8176627
secondary_sector|after_index|yes|bd_00#inc_2016_2021|sibling|25-64|185627336.38|20596|12447437.59|20596|9012.7858022|604.36189503
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|65+|557939868.93|63092|50500638.027|63092|8843.2744076|800.42854921
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|65+|997600785.94|39397|57886322.364|39397|25321.744954|1469.3078753
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|65+|1555540654.9|102489|108386960.39|102489|15177.635208|1057.5472528
secondary_sector|before_index|no|bd_00#inc_2016_2021|father|0-24|513251261.01|83170|45137381.041|83170|6171.1105088|542.71228857
secondary_sector|before_index|no|bd_00#inc_2016_2021|mother|0-24|567780659.67|67073|55526215.605|67073|8465.1150191|827.84750354
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|25-64|288741483.84|55189.991601|42818771.189|55189.991601|5231.7725636|775.84304593
secondary_sector|before_index|no|bd_00#inc_2016_2021|parent|25-64|488180135.96|32626|6793962.1053|32626|14962.917181|208.23766644
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|25-64|762121436.77|89878|94232241.994|89878|8479.5104115|1048.446138
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|25-64|1769870423.8|208224.05598|159944903.15|208224.05598|8499.8364644|768.13844774
secondary_sector|before_index|no|bd_00#inc_2016_2021|sibling|25-64|230827367.24|30530.064384|16099927.858|30530.064384|7560.6577287|527.34667231
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|65+|490722392.25|66395|25357794.892|66395|7390.9540214|381.92326066
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|65+|892931089.7|41616|142906730.35|41616|21456.43718|3433.9371961
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|65+|1383653482|108011|168264525.25|108011|12810.301561|1557.8461939
secondary_sector|before_index|yes|bd_00#inc_2016_2021|father|0-24|480409546.23|79415|61513757.909|79415|6049.355238|774.58613498
secondary_sector|before_index|yes|bd_00#inc_2016_2021|mother|0-24|537529838.06|63833|36495404.255|63833|8420.8769455|571.73255613
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|25-64|277038313.83|53181.504229|43441029.917|53181.504229|5209.2981921|816.84470093
secondary_sector|before_index|yes|bd_00#inc_2016_2021|parent|25-64|408826760.49|28342|14933478.556|28342|14424.7675|526.90277876
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|25-64|718601301.97|85611|80408525.395|85611|8393.796381|939.23123658
secondary_sector|before_index|yes|bd_00#inc_2016_2021|pooled|25-64|1565186214.5|187730.50423|145478925.93|187730.50423|8337.4101666|774.93493414
secondary_sector|before_index|yes|bd_00#inc_2016_2021|sibling|25-64|160719838.24|20596|6695892.0627|20596|7803.4491281|325.10643148
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|65+|465057578.7|63092|29536037.788|63092|7371.1021793|468.14236017
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|65+|850114538.03|39397|127372324.95|39397|21578.154124|3233.0462967
secondary_sector|before_index|yes|bd_00#inc_2016_2021|pooled|65+|1315172116.7|102489|156908362.74|102489|12832.324608|1530.977595
secondary_sector|after_index|no|bd_00#prev_2021|father|0-24|1030442020|131137|79430665.25|131137|7857.751969|605.70750627
secondary_sector|after_index|no|bd_00#prev_2021|mother|0-24|917560598.97|100582|152316497.55|100582|9122.5129642|1514.3514501
secondary_sector|after_index|no|bd_00#prev_2021|child|25-64|1554907195.1|288643.25683|250823069.08|288643.25683|5386.9513952|868.97255744
secondary_sector|after_index|no|bd_00#prev_2021|parent|25-64|3585667152.2|166864|170973758.92|166864|21488.560457|1024.6293923
secondary_sector|after_index|no|bd_00#prev_2021|partner|25-64|3479617545.7|363949|245251968.02|363949|9560.7284144|673.86355786
secondary_sector|after_index|no|bd_00#prev_2021|pooled|25-64|10308793179|991297.86885|831587480.14|991297.86885|10399.289157|838.88758997
secondary_sector|after_index|no|bd_00#prev_2021|sibling|25-64|1688601285.7|171841.61202|164538684.12|171841.61202|9826.4981679|957.50198211
secondary_sector|after_index|no|bd_00#prev_2021|child|65+|2116457791.2|246346.06284|110276928.42|246346.06284|8591.400921|447.6504603
secondary_sector|after_index|no|bd_00#prev_2021|partner|65+|3575068709.2|148281|35330380.093|148281|24110.093061|238.26640023
secondary_sector|after_index|no|bd_00#prev_2021|pooled|65+|5691526500.4|394627.06284|145607308.52|394627.06284|14422.544818|368.9744628
secondary_sector|after_index|yes|bd_00#prev_2021|father|0-24|952566131.96|125491|53801148.36|125491|7590.712736|428.72515448
secondary_sector|after_index|yes|bd_00#prev_2021|mother|0-24|868377408.07|96098|141211791|96098|9036.3733696|1469.4560865
secondary_sector|after_index|yes|bd_00#prev_2021|child|25-64|1478616053.6|276519.52459|231649016.86|276519.52459|5347.2392438|837.73114106
secondary_sector|after_index|yes|bd_00#prev_2021|parent|25-64|2935632898.2|141186|233107986.43|141186|20792.662858|1651.0701233
secondary_sector|after_index|yes|bd_00#prev_2021|partner|25-64|3278959595.2|348048|260472936.85|348048|9420.9982394|748.38222558
secondary_sector|after_index|yes|bd_00#prev_2021|pooled|25-64|8825340562|878409.62295|810535040.34|878409.62295|10046.953416|922.7301468
secondary_sector|after_index|yes|bd_00#prev_2021|sibling|25-64|1132132015|112656.09836|85305100.196|112656.09836|10049.451663|757.21688783
secondary_sector|after_index|yes|bd_00#prev_2021|child|65+|2012528068.5|234001|105224770.35|234001|8600.510547|449.67658408
secondary_sector|after_index|yes|bd_00#prev_2021|partner|65+|3394279250.9|140391|121093353.57|140391|24177.327969|862.54356457
secondary_sector|after_index|yes|bd_00#prev_2021|pooled|65+|5406807319.4|374392|226318123.92|374392|14441.567446|604.49508516
secondary_sector|before_index|no|bd_00#prev_2021|father|0-24|830324758.16|131137|53403265.764|131137|6331.7351942|407.23263277
secondary_sector|before_index|no|bd_00#prev_2021|mother|0-24|789157867.81|100582|98017407.387|100582|7845.9154502|974.5024695
secondary_sector|before_index|no|bd_00#prev_2021|child|25-64|1508852986.6|288643.25683|213877197.15|288643.25683|5227.3973179|740.97416824
