additional_relative_req|var_pop|agegroup|closest_relative_type|n_agegroup|closest_relative_type_n|has_control_closest_rel_prop
no|bd_00#inc_2016_2021|0-24|father|203829|83170|0.41
no|bd_00#inc_2016_2021|0-24|mother|203829|67073|0.33
no|bd_00#inc_2016_2021|0-24|no_relative|203829|53586|
no|bd_00#inc_2016_2021|25-64|child|233847|55787|0.24
no|bd_00#inc_2016_2021|25-64|father|233847|12788|0.05
no|bd_00#inc_2016_2021|25-64|mother|233847|19898|0.09
no|bd_00#inc_2016_2021|25-64|no_relative|233847|24582|
no|bd_00#inc_2016_2021|25-64|partner|233847|90209|0.38
no|bd_00#inc_2016_2021|25-64|sibling|233847|30583|0.13
no|bd_00#inc_2016_2021|65+|child|146681|66397|0.45
no|bd_00#inc_2016_2021|65+|no_relative|146681|38588|
no|bd_00#inc_2016_2021|65+|partner|146681|41696|0.28
no|bd_00#prev_2021|0-24|father|321533|131137|0.41
no|bd_00#prev_2021|0-24|mother|321533|100582|0.31
no|bd_00#prev_2021|0-24|no_relative|321533|89814|
no|bd_00#prev_2021|25-64|child|1103632|290917|0.26
no|bd_00#prev_2021|25-64|father|1103632|68866|0.06
no|bd_00#prev_2021|25-64|mother|1103632|98353|0.09
no|bd_00#prev_2021|25-64|no_relative|1103632|107800|
no|bd_00#prev_2021|25-64|partner|1103632|365434|0.33
no|bd_00#prev_2021|25-64|sibling|1103632|172262|0.16
no|bd_00#prev_2021|65+|child|566845|246350|0.43
no|bd_00#prev_2021|65+|no_relative|566845|171819|
no|bd_00#prev_2021|65+|partner|566845|148676|0.26
no|bd_01#inc_2016_2021|0-24|father|5339|2264|0.42
no|bd_01#inc_2016_2021|0-24|mother|5339|2767|0.52
no|bd_01#inc_2016_2021|0-24|no_relative|5339|308|
no|bd_01#inc_2016_2021|25-64|child|30453|5455|0.18
no|bd_01#inc_2016_2021|25-64|father|30453|1235|0.04
no|bd_01#inc_2016_2021|25-64|mother|30453|3943|0.13
no|bd_01#inc_2016_2021|25-64|no_relative|30453|1518|
no|bd_01#inc_2016_2021|25-64|partner|30453|13934|0.46
no|bd_01#inc_2016_2021|25-64|sibling|30453|4368|0.14
no|bd_01#inc_2016_2021|65+|child|12154|5050|0.42
no|bd_01#inc_2016_2021|65+|no_relative|12154|1929|
no|bd_01#inc_2016_2021|65+|partner|12154|5175|0.42
no|bd_01#prev_2021|0-24|father|3631|1527|0.42
no|bd_01#prev_2021|0-24|mother|3631|1807|0.5
no|bd_01#prev_2021|0-24|no_relative|3631|297|
