cost_component|cost_period|additional_relative_req|var_pop|closest_relative_group|agegroup|act_cost|act_py|att_cost|att_py|n_cases_included|act_cost_py|att_cost_py
secondary_sector|after_index|no|bd_00#inc_2016_2021|father|0-24|621224560.48|83024.757849|63688163.169|83024.757849|83170|7482.4013532|767.09845135
secondary_sector|after_index|no|bd_00#inc_2016_2021|mother|0-24|595456330.55|66987.235437|71944902.368|66987.235437|67073|8889.1014335|1074.0091287
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|25-64|305041315.83|55484.893802|54530360.452|55484.893802|55769|5497.7363193|982.7965184
secondary_sector|after_index|no|bd_00#inc_2016_2021|parent|25-64|653302936.09|32395.272558|57983466.034|32395.272558|32626|20166.613352|1789.8743074
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|25-64|883757695.68|89558.12081|124142635.81|89558.12081|89878|9867.9794494|1386.1683863
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|25-64|2116484178.4|207886.96504|261645933.1|207886.96504|208804|10180.937405|1258.5971085
secondary_sector|after_index|no|bd_00#inc_2016_2021|sibling|25-64|274382230.78|30448.677873|24989470.811|30448.677873|30531|9011.3019663|820.70791104
secondary_sector|after_index|no|bd_00#inc_2016_2021|child|65+|587770976.49|66281.002358|39999564.378|66281.002358|66395|8867.8649324|603.48460275
secondary_sector|after_index|no|bd_00#inc_2016_2021|partner|65+|1048644457|41010.07782|76952343.077|41010.07782|41616|25570.408854|1876.4251903
secondary_sector|after_index|no|bd_00#inc_2016_2021|pooled|65+|1636415433.5|107291.08018|116951907.45|107291.08018|108011|15252.110714|1090.0431542
secondary_sector|after_index|yes|bd_00#inc_2016_2021|father|0-24|574013082.07|79290.571989|65339310.374|79290.571989|79415|7239.3610952|824.04892202
secondary_sector|after_index|yes|bd_00#inc_2016_2021|mother|0-24|560277975.77|63759.08586|53945549.312|63759.08586|63833|8787.4217174|846.08410839
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|25-64|293629689.39|53480.845662|56947479.875|53480.845662|53754|5490.3710993|1064.8201084
secondary_sector|after_index|yes|bd_00#inc_2016_2021|parent|25-64|545155125.86|28166.394498|40348687.156|28166.394498|28342|19354.806875|1432.5116109
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|25-64|828690192.92|85336.717898|98769540.949|85336.717898|85611|9710.828039|1157.4096518
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|25-64|1853209208.1|187516.12085|209071157.36|187516.12085|188303|9882.9327294|1114.9503115
secondary_sector|after_index|yes|bd_00#inc_2016_2021|sibling|25-64|185734199.92|20532.162797|13005449.381|20532.162797|20596|9046.0124322|633.41838412
secondary_sector|after_index|yes|bd_00#inc_2016_2021|child|65+|558136105.74|62989.024306|51322311.672|62989.024306|63092|8860.8469791|814.78181696
secondary_sector|after_index|yes|bd_00#inc_2016_2021|partner|65+|998785749.19|38844.252519|75883240.581|38844.252519|39397|25712.574819|1953.525571
secondary_sector|after_index|yes|bd_00#inc_2016_2021|pooled|65+|1556921854.9|101833.27682|127205552.25|101833.27682|102489|15288.930136|1249.1550524
secondary_sector|before_index|no|bd_00#inc_2016_2021|father|0-24|513924067.8|83169.999611|44965299.301|83169.999611|83170|6179.2000746|540.64325492
secondary_sector|before_index|no|bd_00#inc_2016_2021|mother|0-24|568778206.49|67073|56004311.907|67073|67073|8479.987573|834.97550291
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|25-64|289395939.54|55769|38636815.47|55769|55769|5189.1900435|692.80093726
secondary_sector|before_index|no|bd_00#inc_2016_2021|parent|25-64|489699471.64|32625.999169|7618428.1218|32625.999169|32626|15009.485812|233.50788683
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|25-64|763405277.78|89877.997822|94651684.5|89877.997822|89878|8493.7948806|1053.1129619
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|25-64|1773541577.6|208803.99699|156966237.49|208803.99699|208804|8493.8104786|751.73962064
secondary_sector|before_index|no|bd_00#inc_2016_2021|sibling|25-64|231040888.65|30531|16059309.395|30531|30531|7567.4196278|526.00011121
secondary_sector|before_index|no|bd_00#inc_2016_2021|child|65+|491296062.98|66394.999573|25456441.864|66394.999573|66395|7399.594339|383.40902218
secondary_sector|before_index|no|bd_00#inc_2016_2021|partner|65+|896388299.59|41615.98958|145415093.65|41615.98958|41616|21539.516629|3494.2120833
secondary_sector|before_index|no|bd_00#inc_2016_2021|pooled|65+|1387684362.6|108010.98915|170871535.51|108010.98915|108011|12847.622019|1581.9828783
secondary_sector|before_index|yes|bd_00#inc_2016_2021|father|0-24|481038317.5|79414.999611|61807847.66|79414.999611|79415|6057.2728056|778.28934034
secondary_sector|before_index|yes|bd_00#inc_2016_2021|mother|0-24|538469547.87|63833|37043155.453|63833|63833|8435.5983248|580.31355964
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|25-64|277690165.11|53754|39595937.129|53754|53754|5165.9442108|736.61377998
secondary_sector|before_index|yes|bd_00#inc_2016_2021|parent|25-64|410258923.85|28341.999177|15948158.654|28341.999177|28342|14475.299406|562.70408291
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|25-64|719838784.83|85610.998203|80907833.919|85610.998203|85611|8408.2512754|945.06355044
secondary_sector|before_index|yes|bd_00#inc_2016_2021|pooled|25-64|1568633239.1|188302.99738|143165132.12|188302.99738|188303|8330.3678697|760.29130771
secondary_sector|before_index|yes|bd_00#inc_2016_2021|sibling|25-64|160845365.36|20596|6713202.4206|20596|20596|7809.5438609|325.94690331
secondary_sector|before_index|yes|bd_00#inc_2016_2021|child|65+|465625476.64|63091.999573|29673659.001|63091.999573|63092|7380.1033378|470.32364169
secondary_sector|before_index|yes|bd_00#inc_2016_2021|partner|65+|853378431.33|39396.98958|129327665.17|39396.98958|39397|21661.006093|3282.6788683
secondary_sector|before_index|yes|bd_00#inc_2016_2021|pooled|65+|1319003908|102488.98915|159001324.17|102488.98915|102489|12869.713311|1551.3990867
secondary_sector|after_index|no|bd_00#prev_2021|father|0-24|1030442020|130978.9726|80403223.188|130978.9726|131137|7867.2324228|613.8635965
secondary_sector|after_index|no|bd_00#prev_2021|mother|0-24|917560598.97|100513.36712|152843749.65|100513.36712|100582|9128.7420294|1520.6310765
secondary_sector|after_index|no|bd_00#prev_2021|child|25-64|1554907195.1|290194.31233|245770619.81|290194.31233|290844|5358.1587545|846.91742522
secondary_sector|after_index|no|bd_00#prev_2021|parent|25-64|3585667152.2|165495.83014|210925114.32|165495.83014|166864|21666.208443|1274.5041017
secondary_sector|after_index|no|bd_00#prev_2021|partner|25-64|3479617545.7|363506.34247|251292647.94|363506.34247|363949|9572.3709305|691.30196254
secondary_sector|after_index|no|bd_00#prev_2021|pooled|25-64|10308793179|990728.70137|875584983.21|990728.70137|993503|10405.263484|883.77876002
secondary_sector|after_index|no|bd_00#prev_2021|sibling|25-64|1688601285.7|171532.21644|167596601.14|171532.21644|171846|9844.2223902|977.05611587
secondary_sector|after_index|no|bd_00#prev_2021|child|65+|2116457791.2|246047.0274|113646014.73|246047.0274|246347|8601.8425565|461.88737143
secondary_sector|after_index|no|bd_00#prev_2021|partner|65+|3575068709.2|147104.90685|70153083.057|147104.90685|148281|24302.851521|476.89152292
secondary_sector|after_index|no|bd_00#prev_2021|pooled|65+|5691526500.4|393151.93425|183799097.79|393151.93425|394628|14476.659033|467.50144608
secondary_sector|after_index|yes|bd_00#prev_2021|father|0-24|952566131.96|125355.49589|55739938.504|125355.49589|125491|7598.9179828|444.65492405
secondary_sector|after_index|yes|bd_00#prev_2021|mother|0-24|868377408.07|96034.293151|141561370.56|96034.293151|96098|9042.3678832|1474.0710418
secondary_sector|after_index|yes|bd_00#prev_2021|child|25-64|1478616053.6|278068.87671|225987937.41|278068.87671|278690|5317.4453432|812.70489557
secondary_sector|after_index|yes|bd_00#prev_2021|parent|25-64|2935632898.2|140168.47671|260663715.46|140168.47671|141186|20943.602778|1859.6457747
secondary_sector|after_index|yes|bd_00#prev_2021|partner|25-64|3278959595.2|347667.95616|264356938.22|347667.95616|348048|9431.2965491|760.37188224
secondary_sector|after_index|yes|bd_00#prev_2021|pooled|25-64|8825340562|878368.74521|837613487.16|878368.74521|880581|10047.420984|953.60119737
secondary_sector|after_index|yes|bd_00#prev_2021|sibling|25-64|1132132015|112463.43562|86604896.065|112463.43562|112657|10066.667524|770.07158452
secondary_sector|after_index|yes|bd_00#prev_2021|child|65+|2012528068.5|233725.9589|107096209.01|233725.9589|234001|8610.6313477|458.21272705
secondary_sector|after_index|yes|bd_00#prev_2021|partner|65+|3394279250.9|139318.65205|154693450.65|139318.65205|140391|24363.422993|1110.3570725
secondary_sector|after_index|yes|bd_00#prev_2021|pooled|65+|5406807319.4|373044.61096|261789659.66|373044.61096|374392|14493.728526|701.76502211
secondary_sector|before_index|no|bd_00#prev_2021|father|0-24|830888678.61|131137|53508164.593|131137|131137|6336.0354332|408.03255064
secondary_sector|before_index|no|bd_00#prev_2021|mother|0-24|789713766.34|100582|98082255.381|100582|100582|7851.4422694|975.14719712
secondary_sector|before_index|no|bd_00#prev_2021|child|25-64|1510072574.4|290844|198119648.75|290844|290844|5192.0361927|681.18870855
secondary_sector|before_index|no|bd_00#prev_2021|parent|25-64|2712172417.2|166864|94313046.501|166864|166864|16253.790016|565.20907147
secondary_sector|before_index|no|bd_00#prev_2021|partner|25-64|2936876347.6|363949|221868143.17|363949|363949|8069.4722272|609.6132787
secondary_sector|before_index|no|bd_00#prev_2021|pooled|25-64|8543716109|993503|621755882.06|993503|993503|8599.5876298|625.8218466
secondary_sector|before_index|no|bd_00#prev_2021|sibling|25-64|1384594769.7|171846|107455043.64|171846|171846|8057.1835812|625.29848609
secondary_sector|before_index|no|bd_00#prev_2021|child|65+|1727469428.9|246347|61285789.89|246347|246347|7012.3420576|248.7783082
secondary_sector|before_index|no|bd_00#prev_2021|partner|65+|2783621108.4|148281|58929598.797|148281|148281|18772.608145|397.41840693
secondary_sector|before_index|no|bd_00#prev_2021|pooled|65+|4511090537.3|394628|120215388.69|394628|394628|11431.248004|304.62964789
secondary_sector|before_index|yes|bd_00#prev_2021|father|0-24|775638474.95|125491|61548710.125|125491|125491|6180.8295013|490.46314178
secondary_sector|before_index|yes|bd_00#prev_2021|mother|0-24|750370506.18|96098|112901696.77|96098|96098|7808.3883762|1174.8600051
secondary_sector|before_index|yes|bd_00#prev_2021|child|25-64|1436623446.7|278690|233716274.39|278690|278690|5154.9156652|838.62454479
secondary_sector|before_index|yes|bd_00#prev_2021|parent|25-64|2214231299.4|141186|130745885.53|141186|141186|15683.079763|926.05418052
secondary_sector|before_index|yes|bd_00#prev_2021|partner|25-64|2767176222.1|348048|186921698.46|348048|348048|7950.5591818|537.05724054
secondary_sector|before_index|yes|bd_00#prev_2021|pooled|25-64|7349570123.8|880581|618668862.43|880581|880581|8346.273794|702.56894304
secondary_sector|before_index|yes|bd_00#prev_2021|sibling|25-64|931539155.55|112657|67285004.058|112657|112657|8268.8084677|597.25542184
secondary_sector|before_index|yes|bd_00#prev_2021|child|65+|1639003802.2|234001|77020918.681|234001|234001|7004.2598203|329.14781852
secondary_sector|before_index|yes|bd_00#prev_2021|partner|65+|2646184860.5|140391|59091797.267|140391|140391|18848.678765|420.90872824
secondary_sector|before_index|yes|bd_00#prev_2021|pooled|65+|4285188662.7|374392|136112715.95|374392|374392|11445.727106|363.55668911
secondary_sector|after_index|no|bd_01#inc_2016_2021|father|0-24|34403616.81|2260.1379669|4836997.8819|2260.1379669|2264|15221.91004|2140.1339001
