__label|__var|additional_relative_req|var_pop|agegroup|closest_relative_group|case_relative|__stat_char|__stat_num2|__stat_num3|__stat_num1
__n|__n|no|bd_00#inc_2016_2021|0-24|father|0|83,170 (100.0)|100||83170
male|male|no|bd_00#inc_2016_2021|0-24|father|0|83,170 (100.0)|100||83170
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|575 (0.7)|0.69135505590958||575
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|76,777 (92.3)|92.3133341349044||76777
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|0|5,818 (7.0)|6.995310809186||5818
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|0|48.0 (42.2;53.1)|42.2156074556478|53.0887042443296|47.964480874
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|0||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|26,285 (31.6)|31.6039437297102||26285
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|41,402 (49.8)|49.7799687387279||41402
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|2,863 (3.4)|3.44234700012023||2863
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|0|12,620 (15.2)|15.1737405314416||12620
closest_relative_type: title|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|0||||
closest_relative_type: father|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|0|83,170 (100.0)|100||83170
__n|__n|no|bd_00#inc_2016_2021|0-24|father|1|83,170 (100.0)|100||83170
male|male|no|bd_00#inc_2016_2021|0-24|father|1|83,170 (100.0)|100||83170
cci_g: title|cci_g|no|bd_00#inc_2016_2021|0-24|father|1||||
cci_g: +3|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|580 (0.7)|0.69736683900444||580
cci_g: 0|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|76,278 (91.7)|91.7133581820368||76278
cci_g: 1-2|cci_g|no|bd_00#inc_2016_2021|0-24|father|1|6,312 (7.6)|7.58927497895875||6312
age_index|age_index|no|bd_00#inc_2016_2021|0-24|father|1|47.9 (41.9;53.1)|41.9150684931506|53.0904109589041|47.882191781
education_level: title|education_level|no|bd_00#inc_2016_2021|0-24|father|1||||
education_level: long_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|24,373 (29.3)|29.3050378742335||24373
education_level: medium_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|41,977 (50.5)|50.4713237946375||41977
education_level: no_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|2,581 (3.1)|3.10328243356979||2581
education_level: short_education|education_level|no|bd_00#inc_2016_2021|0-24|father|1|14,239 (17.1)|17.1203558975592||14239
closest_relative_type: title|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|1||||
closest_relative_type: father|closest_relative_type|no|bd_00#inc_2016_2021|0-24|father|1|83,170 (100.0)|100||83170
__n|__n|no|bd_00#prev_2021|0-24|father|0|131,137 (100.0)|100||131137
male|male|no|bd_00#prev_2021|0-24|father|0|131,137 (100.0)|100||131137
cci_g: title|cci_g|no|bd_00#prev_2021|0-24|father|0||||
cci_g: +3|cci_g|no|bd_00#prev_2021|0-24|father|0|965 (0.7)|0.73587164568352||965
cci_g: 0|cci_g|no|bd_00#prev_2021|0-24|father|0|119,881 (91.4)|91.4166101100376||119881
cci_g: 1-2|cci_g|no|bd_00#prev_2021|0-24|father|0|10,291 (7.8)|7.84751824427888||10291
