additional_relative_req|var_pop|agegroup|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|__n|__n|150,265 (100.0)|100||150265
no|bd_00#inc_2016_2021|0-24|male|male|70,738 (47.1)|47.0754999500881||70738
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: +3|203 (0.1)|0.1350946660899||203
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: 0|140,860 (93.7)|93.7410574651449||140860
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: 1-2|9,202 (6.1)|6.12384786876518||9202
no|bd_00#inc_2016_2021|0-24|age_index|age_index|15.8 (10.0;20.2)|9.97936971330189|20.186301369863|15.780821918
no|bd_00#inc_2016_2021|0-24|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|education_level|education_level: long_education|2,562 (1.7)|1.70498785478987||2562
no|bd_00#inc_2016_2021|0-24|education_level|education_level: medium_education|23,065 (15.3)|15.3495491298705||23065
no|bd_00#inc_2016_2021|0-24|education_level|education_level: no_education|55,103 (36.7)|36.6705486973014||55103
no|bd_00#inc_2016_2021|0-24|education_level|education_level: short_education|69,535 (46.3)|46.2749143180381||69535
no|bd_00#inc_2016_2021|25-64|__n|__n|417,592 (100.0)|100||417592
no|bd_00#inc_2016_2021|25-64|male|male|200,286 (48.0)|47.9621257112205||200286
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: +3|9,082 (2.2)|2.17485009291365||9082
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: 0|357,920 (85.7)|85.7104542232609||357920
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: 1-2|50,590 (12.1)|12.1146956838253||50590
no|bd_00#inc_2016_2021|25-64|age_index|age_index|45.1 (34.2;54.3)|34.2164383561643|54.2886443596077|45.11385957
no|bd_00#inc_2016_2021|25-64|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|education_level|education_level: long_education|133,448 (32.0)|31.9565508917795||133448
no|bd_00#inc_2016_2021|25-64|education_level|education_level: medium_education|185,296 (44.4)|44.3724975574244||185296
